area,rooms,bathroom,parking spaces,floor,hoa,rent amount,property tax,fire insurance,total
87,3,2,4,14,800,2000,67,26,2893
42,1,1,0,5,350,2400,94,31,2875
145,3,3,1,10,1380,11000,375,140,12900
250,4,6,4,12,3000,14500,875,184,18560
90,2,1,1,1,1000,3000,50,39,4089
250,6,2,2,0,0,2472,26,38,2536
500,3,4,5,0,0,7620,1094,115,8829
80,2,2,2,6,1581,8800,112,112,10610
120,3,2,3,0,0,2500,180,38,2718
265,3,3,2,0,0,2400,140,37,2577
50,2,1,1,4,330,1080,0,14,1424
126,3,3,2,1,780,3800,167,49,4796
55,2,1,1,1,390,720,0,10,1120
29,1,1,1,20,700,2700,84,35,3519
59,2,1,1,24,514,2450,138,32,3134
200,2,4,4,4,2450,7800,1417,99,11770
74,3,2,1,7,577,2196,100,28,2901
290,4,5,2,6,4300,10000,875,127,15300
172,3,4,3,1,1596,8000,820,102,10520
25,1,1,0,5,270,2600,67,33,2970
50,1,1,1,0,0,1100,0,17,1117
40,1,1,0,3,300,1100,0,14,1414
80,2,2,2,0,0,2465,0,38,2503
280,6,6,3,0,0,5000,1118,76,6194
60,1,1,1,12,850,4723,0,18,5591
115,2,3,2,8,1380,12000,790,153,14320
540,3,3,4,9,6200,15000,3500,191,24890
76,2,1,1,12,906,4250,217,54,5427
150,4,5,2,1,1100,2980,360,38,4478
130,3,2,1,8,2400,5500,209,70,8179
64,2,1,1,0,441,730,18,10,1199
55,2,2,1,2,420,1300,50,17,1787
50,1,1,0,1,600,1300,0,17,1917
120,2,3,2,20,2000,7000,180,89,9269
236,3,4,4,10,1600,11000,440,140,13180
30,1,1,0,4,336,550,10,7,903
270,3,3,0,0,0,8000,500,121,8621
48,1,1,0,9,350,670,21,9,1050
198,6,3,4,0,0,2000,145,31,2176
50,1,1,0,0,0,1080,59,17,1156
185,3,3,3,20,2670,5600,907,71,9248
440,4,4,4,0,0,12000,2500,181,14680
119,3,2,2,7,1650,1200,212,16,3078
57,2,2,2,16,510,1690,11,22,2233
65,2,1,1,1,100,1400,84,18,1602
35,2,1,1,0,125,2100,0,32,2257
51,1,2,1,16,703,2100,150,27,2980
70,2,3,1,7,1196,2004,0,26,3226
90,2,1,1,0,0,1500,0,23,1523
320,3,4,3,8,3400,6800,1,87,10290
250,7,5,2,0,0,12750,1045,192,13990
70,2,1,1,6,660,3800,45,49,4554
169,4,6,3,7,2560,10000,734,127,13420
33,1,1,0,1,338,1100,63,14,1515
225,4,4,3,7,2800,5000,1267,64,9131
42,1,1,0,2,0,3256,0,42,3298
120,3,4,1,0,0,4000,4,61,4065
70,3,2,2,3,750,1500,148,20,2418
90,1,1,2,0,0,3200,137,49,3386
260,4,5,4,9,2014,3300,1000,42,6356
243,3,3,4,10,2678,5500,1950,70,10200
100,1,1,0,0,0,1530,0,12,1542
240,3,4,3,9,3211,5100,1102,65,9478
45,1,1,1,4,700,870,46,12,1628
65,1,1,1,2,680,5000,14,64,5758
47,1,1,0,4,100,1000,76,13,1189
60,2,1,0,2,589,3300,65,42,3996
340,4,6,6,0,0,15000,250,226,15480
500,4,4,0,0,0,6000,467,91,6558
55,2,1,1,14,420,1399,0,18,1837
240,3,4,3,3,3600,4950,1000,63,9613
65,2,2,1,1,650,2315,0,7,2972
68,1,1,0,0,0,1213,0,6,1219
500,4,4,3,0,0,10800,988,163,11950
198,2,2,2,13,1700,5500,320,70,7590
62,2,1,1,13,543,2200,59,28,2830
60,2,2,1,4,632,2806,25,36,3499
187,3,2,3,0,1700,8400,584,127,10810
25,1,1,0,23,432,2200,45,28,2705
230,3,4,3,0,0,3600,409,55,4064
17,1,1,0,1,300,2400,50,31,2781
67,2,2,1,17,740,2200,170,28,3138
20,1,1,0,1,0,2060,0,27,2087
118,3,2,2,7,1880,8500,434,108,10920
43,1,1,1,2,850,2430,172,31,3483
195,2,3,1,10,1500,6000,334,77,7911
141,3,4,3,7,1646,7500,735,96,9977
45,1,1,1,1,550,2300,0,30,2880
48,1,1,1,19,588,1525,0,6,2119
280,3,4,2,3,4000,6000,1059,77,11140
170,3,2,2,5,2199,5000,423,64,7686
90,3,2,1,0,0,3260,0,50,3310
35,1,1,1,7,392,1100,13,14,1519
16,1,1,0,8,390,2300,100,30,2820
68,1,1,1,10,600,1000,48,13,1661
80,3,5,2,4,3460,12000,1000,153,16610
190,3,2,1,6,3040,8000,556,102,11700
150,3,4,2,0,0,3400,0,52,3452
112,3,3,2,12,1100,2670,188,34,3992
145,3,4,3,1,1200,6000,750,77,8027
47,1,1,1,8,560,1100,46,14,1720
128,3,2,1,3,1094,4529,242,58,5923
250,3,4,4,0,0,4500,334,68,4902
120,3,1,0,2,250,1460,0,21,1731
110,2,2,2,0,0,2700,300,41,3041
400,2,5,4,0,0,6000,484,91,6575
35,1,1,1,9,1050,2600,317,33,4000
107,2,2,2,18,1800,12800,417,163,15180
97,2,2,0,1,1200,5600,0,71,6871
70,2,1,0,1,350,1050,116,14,1530
20,1,1,0,3,150,3142,67,40,3399
130,3,2,2,6,1100,3500,209,45,4854
120,3,2,3,16,1400,2000,292,26,3718
110,3,3,2,2,1000,3800,192,49,5041
300,3,5,3,0,0,11900,250,179,12330
349,4,5,4,8,3100,11000,0,140,14240
97,3,2,2,1,730,3000,303,39,4072
84,4,1,3,5,1914,6000,804,77,8795
180,2,2,1,0,0,2800,105,43,2948
286,4,4,5,0,0,10000,1000,151,11150
500,5,7,5,22,5500,14000,2084,178,21760
110,3,3,3,4,1195,2350,670,30,4245
196,4,4,0,11,2450,6000,1458,77,9985
33,1,1,1,12,552,4150,95,53,4850
400,4,4,3,0,0,9000,542,136,9678
170,2,1,0,1,0,2481,0,26,2507
90,1,1,0,0,0,2200,109,34,2343
184,3,4,3,12,2700,1400,692,18,4810
117,2,2,1,11,630,7130,150,91,8001
11,1,1,0,0,0,1181,0,15,1196
57,1,1,1,2,605,800,66,11,1482
16,1,1,0,1,0,850,30,11,891
180,4,3,1,4,1572,5000,240,64,6876
250,3,4,2,16,3300,6000,517,77,9894
220,3,4,2,0,0,7000,434,106,7540
360,3,5,4,22,2398,3135,1467,40,7040
122,3,4,3,5,0,4500,0,58,4558
138,3,4,3,2,790,7000,690,89,8569
110,3,1,1,1,1235,1400,0,18,2653
220,4,3,3,3,1600,3400,0,44,5044
118,3,2,1,11,1116,4775,185,61,6137
180,2,2,1,15,1800,5350,0,68,7218
52,2,1,1,7,540,1300,63,17,1920
30,1,1,0,1,0,1550,21,20,1591
160,3,3,2,5,1650,1500,419,20,3589
209,3,3,2,0,593,2550,237,39,3419
450,5,5,6,0,0,9500,1345,143,10990
117,3,3,3,10,2280,2300,700,30,5310
900,4,6,8,0,0,15000,4417,226,19640
200,3,3,0,0,0,4500,71,68,4639
128,3,3,2,10,2600,3800,605,49,7054
140,3,2,2,2,1480,3700,167,47,5394
180,3,3,4,27,2000,7000,859,89,9948
280,4,4,5,9,3000,3200,875,41,7116
420,4,6,4,8,3500,15000,2250,191,20940
48,1,1,1,8,740,2700,137,35,3612
148,3,2,2,2,2830,9000,267,115,12210
75,2,1,1,5,748,2000,0,26,2774
44,1,1,0,1,417,3016,0,12,3445
35,1,1,0,0,0,1100,30,14,1144
320,4,2,2,0,0,8000,642,121,8763
98,3,2,1,1,727,1233,84,16,2060
51,1,1,0,12,707,1300,45,17,2069
322,4,5,5,17,2700,15000,1875,191,19770
187,4,5,3,5,3912,5300,1424,68,10700
62,3,2,1,6,1550,4800,167,61,6578
130,2,2,1,0,1100,4300,100,55,5555
600,4,6,3,0,1123,5500,819,83,7525
520,3,4,2,0,0,9000,1500,136,10640
86,1,2,1,13,1800,6500,375,83,8758
72,2,2,1,6,1100,5431,334,69,6934
550,4,4,4,0,0,14000,1334,211,15550
50,1,1,0,0,0,1220,0,19,1239
298,5,3,3,0,0,8000,1384,121,9505
74,3,2,1,10,700,1800,120,23,2643
41,1,1,0,17,450,2470,0,32,2952
80,3,2,2,2,750,1450,110,19,2329
130,3,2,1,1,1200,4500,100,58,5858
64,1,2,2,15,691,2100,92,27,2910
50,1,1,1,9,1170,2730,9,35,3944
200,3,2,4,0,0,3500,0,53,3553
70,1,1,2,9,2150,7000,542,89,9781
41,1,1,1,11,390,1950,65,14,2419
89,2,2,0,2,1000,1900,0,25,2925
250,4,2,8,0,0,13040,500,197,13740
105,2,1,0,0,0,1800,125,28,1953
150,2,2,1,0,1,2100,0,32,2133
50,2,1,1,14,450,1950,0,25,2425
180,3,2,1,0,0,5400,459,82,5941
50,1,1,0,0,0,1000,0,16,1016
70,1,1,2,0,0,1450,5,22,1477
177,2,2,2,0,0,6000,342,91,6433
177,4,5,4,12,1500,9200,959,117,11780
18,1,1,0,0,0,1710,0,22,1732
200,3,4,2,0,0,2900,1100,44,4044
45,1,1,1,1,3000,5520,0,70,8590
70,2,1,1,3,220,750,43,10,1023
66,3,2,1,9,708,2179,13,28,2928
48,2,1,0,2,90,1150,90,15,1345
515,5,4,3,5,5600,15000,250,191,21040
55,2,2,1,7,650,2000,0,26,2676
350,4,5,2,0,0,5000,325,76,5401
260,3,3,3,8,2210,5000,842,64,8116
78,2,1,1,7,645,2000,35,26,2706
35,1,1,0,6,420,1780,0,23,2223
106,2,1,2,0,0,2100,110,32,2242
500,3,3,5,0,0,15000,1125,226,16350
38,1,1,0,0,0,1650,0,25,1675
153,2,2,1,15,1500,11900,350,151,13900
64,2,2,2,5,830,1600,205,21,2656
260,3,4,4,0,0,4500,0,68,4568
50,1,1,1,11,1500,500,105,7,2112
170,3,2,1,14,1700,4500,85,58,6343
120,2,2,2,15,1043,4880,264,62,6249
700,4,5,2,10,3000,8000,402,102,11500
270,5,7,2,0,0,3978,89,60,4127
40,1,1,0,6,890,3463,0,32,4385
640,4,4,4,12,5400,10200,1584,130,17310
40,1,1,0,0,0,980,59,15,1054
40,2,1,0,3,348,1100,0,14,1462
42,1,1,1,0,450,2000,88,26,2564
62,1,1,0,3,550,2100,0,27,2677
106,2,3,2,18,950,5000,250,64,6264
103,3,2,1,7,944,4400,126,56,5526
360,3,5,3,13,4300,8500,1500,108,14410
113,1,1,2,9,650,6400,0,82,7132
164,4,4,3,1,1840,6000,550,77,8467
110,3,2,3,0,0,2800,15,43,2858
110,2,2,1,8,1285,4348,196,56,5885
136,4,3,1,3,1800,4200,312,54,6366
65,1,1,1,9,380,1200,83,16,1679
62,2,1,1,8,735,1345,35,18,2133
163,3,5,3,20,1450,9800,350,125,11730
47,2,1,1,12,597,1570,0,20,2187
50,1,1,1,1,795,3500,213,45,4553
79,3,2,2,6,900,3000,209,39,4148
250,3,3,2,7,1400,5380,234,69,7083
50,2,1,1,6,380,1210,0,16,1606
150,3,3,2,0,0,5000,235,76,5311
76,2,1,0,2,300,700,100,9,1109
72,2,2,1,7,520,1800,159,23,2502
35,1,1,1,17,1280,4000,200,51,5531
250,3,4,4,16,3421,10700,1224,136,15480
85,3,1,1,9,598,1110,63,15,1786
60,1,1,1,14,583,1100,49,14,1746
47,2,1,1,0,255,1290,33,17,1595
104,3,3,2,3,915,9000,254,115,10280
203,3,1,2,0,0,3300,117,50,3467
136,3,2,1,85,1513,3500,260,45,5318
53,1,1,1,3,694,4500,200,58,5452
400,4,3,2,0,0,15000,1870,226,17100
40,1,1,1,14,480,4200,75,54,4809
38,1,1,0,6,0,1680,0,22,1702
340,4,6,4,8,3100,2800,1667,36,7603
134,3,3,2,7,1000,2500,177,32,3709
97,2,2,0,9,453,3000,0,39,3492
90,1,1,0,0,0,1150,59,18,1227
260,4,5,2,1,2600,8000,417,102,11120
66,2,1,0,7,356,1650,0,21,2027
92,2,1,1,12,2750,2930,448,38,6166
92,3,3,1,3,750,4250,21,54,5075
155,3,4,2,14,1400,13100,409,166,15080
30,1,1,0,1,0,900,0,12,912
27,1,1,0,5,1405,3500,1,45,4951
175,4,3,2,0,0,3200,380,49,3629
326,3,4,4,12,2808,6500,1605,83,11000
236,4,5,4,7,3500,10000,1834,127,15460
119,3,1,1,5,926,1200,100,16,2242
23,1,1,0,23,383,2050,40,26,2499
260,2,4,4,19,2000,8000,667,102,10770
400,3,3,2,0,0,12000,0,181,12180
87,1,1,2,14,870,7900,150,101,9021
65,2,1,1,0,0,1800,0,28,1828
210,3,4,4,11,2000,15000,1000,191,18190
250,3,4,2,0,0,4200,192,64,4456
155,3,2,3,4,2600,11700,667,149,15120
300,4,3,5,0,0,4100,20,62,4182
70,3,2,2,4,500,1800,78,23,2401
68,1,2,1,11,1200,4500,100,58,5858
220,3,5,3,4,2000,7900,417,101,10420
91,3,2,2,12,700,2250,175,29,3154
230,4,4,8,0,0,5100,320,77,5497
48,2,1,0,4,288,950,45,13,1296
90,2,2,2,15,1400,10000,0,127,11530
60,1,1,1,15,1000,5500,200,70,6770
450,4,4,3,14,5500,15000,0,191,20690
16,1,1,0,1,0,850,35,11,896
100,3,2,1,8,1100,1400,291,18,2809
300,3,3,3,0,1,3400,417,52,3870
151,3,4,3,14,1700,6800,475,87,9062
150,3,4,3,12,2092,7608,730,97,10530
57,2,1,1,7,570,1500,67,20,2157
30,1,1,1,4,1787,1200,144,16,3147
53,1,1,1,8,1350,3110,85,40,4585
270,3,4,3,0,0,6800,417,103,7320
78,2,2,2,8,1400,5800,334,74,7608
20,1,1,0,1,150,3142,67,40,3399
140,5,2,1,1,0,3999,200,51,4250
155,3,3,2,2,2300,12000,700,153,15150
118,3,2,4,1,850,2250,334,29,3463
235,4,4,3,13,3450,5500,541,70,9561
400,4,4,4,9,4700,9000,1125,115,14940
80,2,2,1,6,1015,3500,117,45,4677
50,1,1,0,2,710,3100,85,12,3907
55,2,2,1,9,337,2500,86,32,2955
400,4,4,4,0,0,8500,1250,128,9878
63,3,2,0,18,550,1800,0,23,2373
325,4,3,2,3,4500,8500,1111,108,14220
200,3,3,2,7,2500,6000,125,77,8702
58,2,2,1,5,790,5000,192,64,6046
180,3,2,3,0,0,4600,3600,70,8270
159,3,2,0,5,1774,4507,444,19,6744
420,4,3,4,0,0,15000,1250,226,16480
88,3,1,2,5,685,1500,35,20,2240
70,3,1,1,6,549,1135,0,5,1689
246,4,5,4,12,2200,10000,750,127,13080
53,2,1,1,1,550,1250,0,16,1816
22,1,1,1,19,500,2200,0,28,2728
80,1,1,0,0,0,1700,60,26,1786
30,1,1,1,11,500,2570,0,8,3078
157,3,5,3,1,2300,7000,442,89,9831
450,3,3,8,0,0,5015,400,76,5491
90,3,2,0,0,295,2572,53,8,2928
88,2,1,0,7,800,1800,0,23,2623
46,1,1,0,5,1300,1950,0,25,3275
189,4,2,2,4,1970,8000,559,102,10630
49,2,1,1,10,395,1250,0,16,1661
180,3,2,2,2,2500,7000,1200,89,10790
128,3,3,2,1,1090,7000,500,89,8679
60,2,2,0,0,518,1300,170,10,1998
74,3,2,1,7,982,1710,48,22,2762
80,1,1,1,10,1800,2500,180,32,4512
150,3,2,1,0,0,2500,0,38,2538
70,3,2,1,3,799,1900,182,25,2906
113,3,2,2,2,1300,4800,250,61,6411
50,1,1,0,0,0,880,0,14,894
300,4,2,2,1,3000,6500,1091,83,10670
140,2,3,1,3,1306,5000,250,64,6620
300,4,5,1,8,3700,8550,400,109,12760
350,5,4,8,0,0,9000,762,136,9898
78,2,1,1,0,0,1700,82,26,1808
110,2,2,0,18,960,4200,218,54,5432
423,4,5,7,28,5785,14000,2647,178,22610
110,1,1,0,20,923,3182,0,14,4119
136,2,4,2,7,1540,4800,242,61,6643
56,2,1,1,3,1091,1700,72,22,2885
20,1,1,0,3,402,2800,68,36,3306
115,3,2,2,8,1900,2900,400,37,5237
140,2,2,1,3,2000,12500,279,159,14940
64,2,1,1,2,500,1400,11,18,1929
60,2,1,1,15,990,2500,42,32,3564
132,3,2,1,11,1477,2800,45,36,4358
210,4,3,3,11,1250,4000,750,51,6051
300,4,4,3,0,0,5080,284,77,5441
130,3,2,2,0,0,3300,108,50,3458
108,2,4,2,7,1289,4430,522,57,6298
75,2,2,1,4,926,3005,203,10,4144
250,3,3,3,0,0,4500,150,68,4718
55,1,1,0,5,473,500,17,7,997
129,3,2,3,5,1260,2950,450,38,4698
158,4,4,3,5,2100,6600,375,84,9159
100,3,3,2,1,1200,3248,384,42,4874
130,3,2,3,0,0,7450,167,112,7729
25,1,1,0,0,20,1200,25,19,1264
240,3,2,3,0,0,9265,525,140,9930
196,3,4,2,1,2200,3300,559,42,6101
39,1,1,1,5,460,3300,157,42,3959
46,2,1,1,3,250,970,42,13,1275
120,3,2,0,1,0,2500,84,38,2622
270,2,2,3,17,2200,8650,0,110,10960
700,4,10,0,0,0,15000,8750,226,23980
462,4,7,4,0,0,5000,590,76,5666
35,1,1,1,9,475,3150,0,23,3648
90,3,3,2,12,897,3500,0,45,4442
98,3,2,2,1,1400,1760,383,23,3566
159,2,2,1,8,1236,4200,251,54,5741
115,3,5,2,10,1830,7000,495,89,9414
400,3,3,1,3,3000,11000,142,140,14280
60,2,1,1,9,498,1317,25,17,1857
220,3,4,3,11,3300,8000,1000,102,12400
67,2,1,1,4,1500,2099,250,27,3876
165,3,4,3,7,1700,4500,573,58,6831
100,2,4,0,1,0,3000,0,39,3039
55,1,2,1,2,1317,2576,230,10,4133
35,1,1,1,2,254,600,92,8,954
51,1,1,1,10,630,3700,0,47,4377
73,2,2,1,13,700,1250,150,16,2116
320,5,5,4,4,5800,5500,1500,70,12870
35,1,1,1,7,380,2300,100,30,2810
46,1,1,0,3,100,1600,0,21,1721
350,4,3,4,0,500,6000,500,91,7091
340,4,4,3,2,0,14000,834,178,15010
28,1,1,1,4,1590,1899,198,5,3692
125,3,2,2,0,0,3000,150,46,3196
44,1,1,1,3,560,3450,0,13,4023
95,2,1,1,15,900,3000,67,39,4006
310,3,4,3,8,2400,4500,900,58,7858
48,2,1,0,3,100,1350,0,18,1468
30,4,4,2,0,0,5000,4247,76,9323
46,1,1,1,10,550,580,43,8,1181
141,3,2,2,4,1650,7400,0,94,9144
58,1,1,1,17,610,1600,89,21,2320
48,2,1,0,0,100,1350,0,18,1468
560,5,5,6,0,0,15000,1917,226,17140
98,3,2,1,9,1350,5500,200,70,7120
340,3,4,4,2,7000,12500,3084,159,22740
224,4,4,3,2,2900,9350,917,119,13290
50,1,1,1,3,392,800,320,11,1523
250,3,4,3,8,2700,7000,1167,89,10960
100,2,2,1,6,1050,4000,240,51,5341
600,3,3,4,0,0,6800,966,103,7869
114,3,2,1,4,967,1400,176,18,2561
67,2,1,1,2,500,1230,42,16,1788
160,4,3,2,9,2800,10330,286,131,13550
130,2,2,1,17,993,5600,75,71,6739
114,1,1,1,6,987,2800,208,36,4031
52,2,1,1,4,0,1450,0,19,1469
31,1,1,0,6,430,2300,0,30,2760
78,2,1,1,1,410,2500,0,32,2942
60,2,2,1,3,900,5700,212,73,6885
40,1,1,0,5,578,2390,0,31,2999
145,4,4,3,14,1663,4500,584,58,6805
127,2,3,2,2,1910,6900,500,88,9398
330,4,5,4,13,2870,10000,1119,127,14120
180,4,3,1,11,1500,1800,252,23,3575
120,4,3,2,13,1250,3500,209,45,5004
40,1,1,1,10,2100,2200,223,28,4551
160,4,4,2,0,0,2400,0,37,2437
130,3,2,2,4,1150,2800,184,36,4170
80,2,1,1,2,1257,2950,195,38,4440
112,3,4,3,9,1480,2800,413,36,4729
30,1,1,1,10,886,1500,0,20,2406
184,4,3,3,2,1200,4500,750,58,6508
56,2,1,1,11,530,2500,0,32,3062
40,1,1,1,6,1300,3000,248,39,4587
65,2,2,1,7,630,1800,25,23,2478
146,3,2,2,14,1400,3500,600,45,5545
60,2,1,1,3,200,1299,84,17,1600
170,3,2,2,4,1970,9000,900,115,11990
240,4,4,4,8,3033,2890,1398,37,7358
200,4,2,2,0,0,6500,500,98,7098
69,2,1,1,3,470,1550,70,20,2110
224,3,4,2,9,3300,6000,679,77,10060
109,3,2,2,20,1200,4500,417,58,6175
50,2,1,2,9,640,2300,93,30,3063
59,2,1,1,5,430,1290,47,17,1784
162,2,3,3,3,2200,15000,959,191,18350
93,3,2,1,7,677,1100,63,14,1854
580,6,6,6,0,0,6960,2084,105,9149
216,3,4,2,10,3400,5500,870,70,9840
90,2,1,0,9,1200,3850,130,49,5229
200,3,3,2,7,4200,7225,642,92,12160
55,1,1,0,4,490,750,37,10,1287
40,1,1,1,3,552,2300,109,30,2991
87,3,3,2,12,930,3500,253,45,4728
60,2,1,0,0,0,1600,25,25,1650
70,3,2,1,7,620,1825,0,24,2469
243,2,3,2,0,0,4619,559,70,5248
78,1,1,2,8,1980,6000,317,77,8374
103,2,1,0,0,0,1300,80,20,1400
72,3,2,1,3,790,1750,3,23,2566
95,1,2,2,15,1859,8000,566,102,10530
135,3,2,2,9,1836,4200,543,54,6633
310,5,4,5,3,4364,3200,2506,41,10110
68,2,2,1,18,500,2565,59,33,3157
360,4,5,4,12,4350,6593,1830,84,12860
420,4,4,4,9,6000,15000,3334,191,24530
266,3,5,1,15,2075,4320,391,55,6841
172,3,4,3,5,1650,7800,890,99,10440
240,3,5,4,0,0,7500,459,113,8072
108,1,3,2,9,980,4500,0,58,5538
50,1,1,0,12,501,1800,0,23,2324
180,3,3,2,1,3515,4400,775,56,8746
380,4,6,3,0,0,4000,455,61,4516
125,3,4,0,2,1551,2500,495,32,4578
50,2,2,1,12,585,1395,0,6,1986
382,3,4,2,11,4529,14000,1410,178,20120
51,1,1,0,9,367,1700,84,22,2173
128,2,2,0,9,958,2700,0,35,3693
51,1,1,0,3,486,820,15,11,1332
45,1,1,0,11,370,500,10,7,887
300,4,5,4,0,0,14000,1167,211,15380
180,3,1,0,0,0,2500,334,38,2872
120,3,2,1,17,1250,2000,230,26,3506
87,3,2,0,6,1284,2000,231,26,3541
116,2,2,2,8,1215,8000,250,102,9567
200,4,2,1,5,2115,5000,328,64,7507
556,6,7,4,0,0,7500,1084,113,8697
62,2,2,2,5,800,3000,14,39,3853
63,2,2,1,19,1000,11000,133,140,12270
96,3,1,1,5,1172,3550,140,45,4907
61,2,2,1,1,885,2000,130,26,3041
266,4,5,4,7,2900,10900,1167,139,15110
48,1,1,0,4,490,1500,42,20,2052
33,2,1,0,12,350,2850,0,37,3237
150,2,2,3,2,4085,8000,570,102,12760
175,3,2,2,0,0,3900,264,59,4223
108,3,4,0,4,780,3500,324,45,4649
100,4,5,4,1,3800,3250,1417,42,8509
81,1,1,1,8,600,1150,67,16,1833
29,1,1,0,5,257,1043,0,14,1314
60,2,2,1,13,694,1700,128,22,2544
70,2,1,1,19,520,1700,155,22,2397
130,2,2,0,6,1343,3974,71,51,5439
83,3,2,2,25,589,2600,159,33,3381
320,3,4,2,0,0,5500,250,83,5833
87,3,2,1,4,670,640,200,9,1519
240,2,3,1,3,2300,6500,30,83,8913
108,3,3,2,0,0,2800,209,43,3052
160,3,2,1,5,1715,7700,470,98,9983
178,3,4,4,18,2650,10000,125,127,12900
116,3,2,3,11,1200,8000,604,102,9906
82,2,2,1,7,650,2341,0,9,3000
72,2,1,1,3,862,1300,100,17,2279
160,3,2,2,13,1200,3900,221,50,5371
230,3,4,3,7,3200,8000,1167,102,12470
60,2,2,1,5,631,2640,26,34,3331
50,1,1,0,11,390,3698,7,47,4142
79,2,2,1,2,678,2800,4,36,3518
94,3,1,1,6,565,2000,60,26,2651
200,3,3,6,0,0,6000,500,91,6591
60,2,2,1,10,750,3400,100,44,4294
98,3,2,2,3,1400,2000,383,26,3809
75,2,1,1,2,670,1200,121,16,2007
190,3,3,2,11,1900,13500,620,172,16190
20,1,1,0,3,150,3142,67,40,3399
46,1,1,0,2,450,500,14,7,971
22,1,1,0,0,0,1074,0,17,1091
49,1,1,0,1,768,2600,66,33,3467
105,3,2,2,6,1200,1620,165,21,3006
