payment_type,payment_installments,payment_value
credit_card,2,60.0
credit_card,3,39.01
credit_card,3,39.78
credit_card,2,64.23
credit_card,4,186.92
credit_card,2,43.29
credit_card,1,59.13
credit_card,3,33.51
debit_card,1,33.1
voucher,1,148.06
credit_card,2,189.56
credit_card,5,105.38
boleto,1,69.06
voucher,1,85.24
credit_card,5,179.46
credit_card,1,168.35
voucher,1,100.0
credit_card,1,77.89
credit_card,1,99.43
credit_card,1,407.9
voucher,1,15.0
credit_card,2,424.04
credit_card,3,157.2
credit_card,4,162.03
credit_card,8,188.5
credit_card,1,65.47
credit_card,1,39.42
credit_card,5,365.32
credit_card,6,65.11
credit_card,10,188.34
boleto,1,35.4
credit_card,10,590.72
boleto,1,36.75
credit_card,2,81.73
credit_card,1,17.86
boleto,1,108.97
credit_card,10,569.66
credit_card,4,48.13
credit_card,2,63.1
boleto,1,39.42
boleto,1,74.03
boleto,1,66.78
credit_card,1,36.59
credit_card,5,272.64
credit_card,1,64.34
boleto,1,49.05
credit_card,7,163.69
credit_card,6,443.85
credit_card,6,165.31
credit_card,10,1180.51
credit_card,1,706.84
voucher,1,20.0
credit_card,1,135.97
credit_card,1,56.99
credit_card,1,43.58
credit_card,4,48.15
credit_card,1,76.87
credit_card,1,2.78
credit_card,2,123.59
boleto,1,128.07
credit_card,2,185.84
credit_card,1,85.81
credit_card,1,149.54
credit_card,1,32.38
credit_card,1,23.38
credit_card,1,98.86
credit_card,8,124.21
credit_card,6,191.58
credit_card,2,123.04
credit_card,1,26.38
credit_card,2,71.49
credit_card,1,153.98
credit_card,1,55.91
credit_card,6,86.06
credit_card,1,33.1
credit_card,10,360.29
credit_card,10,105.24
credit_card,3,114.85
voucher,1,0.01
credit_card,1,65.57
credit_card,3,88.9
credit_card,1,76.78
credit_card,10,680.96
voucher,1,27.91
credit_card,2,61.79
credit_card,1,40.96
credit_card,2,149.0
credit_card,7,75.7
credit_card,4,356.9
credit_card,2,165.96
credit_card,2,61.19
credit_card,1,43.37
credit_card,2,40.86
credit_card,1,84.81
voucher,1,8.24
credit_card,3,191.93
credit_card,1,32.72
boleto,1,32.77
credit_card,5,50.5
credit_card,3,37.05
credit_card,1,70.36
credit_card,1,38.0
boleto,1,196.81
boleto,1,46.84
credit_card,10,367.2
credit_card,4,195.36
credit_card,7,144.8
boleto,1,28.62
boleto,1,160.74
voucher,1,103.59
credit_card,1,10.39
credit_card,1,31.75
credit_card,5,116.23
credit_card,4,40.43
boleto,1,66.64
voucher,1,17.01
boleto,1,189.96
boleto,1,170.37
credit_card,2,50.9
credit_card,1,133.64
boleto,1,543.29
credit_card,2,42.75
credit_card,2,161.01
boleto,1,72.83
boleto,1,1605.14
boleto,1,130.6
credit_card,1,69.67
credit_card,2,70.97
credit_card,10,255.76
credit_card,4,75.4
credit_card,3,109.93
credit_card,1,71.14
credit_card,3,113.33
credit_card,1,292.86
credit_card,2,129.15
credit_card,7,177.67
credit_card,1,27.48
credit_card,1,140.94
boleto,1,23.0
credit_card,1,49.09
credit_card,1,84.79
boleto,1,111.02
credit_card,1,42.44
credit_card,1,210.56
credit_card,4,42.74
boleto,1,50.1
credit_card,1,67.23
credit_card,4,46.66
credit_card,1,201.05
credit_card,4,81.47
boleto,1,79.69
credit_card,4,45.12
boleto,1,250.04
credit_card,7,108.88
credit_card,1,189.66
credit_card,3,135.47
boleto,1,104.07
credit_card,3,184.08
boleto,1,164.01
credit_card,3,91.21
credit_card,7,129.0
credit_card,2,84.28
credit_card,1,57.67
credit_card,3,97.79
debit_card,1,53.9
boleto,1,35.09
boleto,1,218.04
boleto,1,67.93
boleto,1,40.53
credit_card,6,97.23
credit_card,6,159.39
boleto,1,167.07
voucher,1,50.0
credit_card,2,93.4
credit_card,4,276.11
credit_card,3,149.16
credit_card,2,175.13
credit_card,1,143.99
boleto,1,131.8
boleto,1,88.54
credit_card,1,109.31
boleto,1,63.05
credit_card,8,353.29
credit_card,3,276.44
boleto,1,45.95
credit_card,2,116.99
boleto,1,46.0
voucher,1,23.23
credit_card,1,119.18
boleto,1,32.13
credit_card,5,222.15
boleto,1,59.22
boleto,1,204.81
credit_card,2,73.34
credit_card,1,131.03
credit_card,3,57.69
credit_card,1,27.79
boleto,1,224.45
credit_card,1,135.6
credit_card,7,76.08
credit_card,1,67.14
boleto,1,137.97
boleto,1,68.12
credit_card,3,73.61
credit_card,3,117.94
credit_card,3,84.52
credit_card,8,138.84
credit_card,1,5.37
credit_card,4,119.48
credit_card,1,77.5
boleto,1,84.05
boleto,1,149.73
boleto,1,93.8
credit_card,2,76.51
boleto,1,121.6
credit_card,10,528.69
boleto,1,73.03
credit_card,2,70.0
credit_card,5,278.63
credit_card,2,89.88
boleto,1,117.38
credit_card,3,180.47
credit_card,2,110.77
credit_card,2,28.7
credit_card,1,23.47
voucher,1,50.0
boleto,1,364.46
credit_card,1,48.23
credit_card,6,78.97
credit_card,2,159.8
credit_card,1,66.44
credit_card,2,71.13
credit_card,1,76.29
voucher,1,188.93
debit_card,1,70.03
boleto,1,51.01
credit_card,2,162.75
boleto,1,36.36
credit_card,4,209.46
credit_card,2,79.95
credit_card,1,134.49
credit_card,6,111.02
credit_card,1,53.88
boleto,1,62.91
debit_card,1,335.47
voucher,1,12.29
credit_card,8,237.54
credit_card,1,131.94
debit_card,1,191.28
credit_card,6,85.24
credit_card,1,37.99
credit_card,1,200.75
boleto,1,213.03
boleto,1,74.16
voucher,1,55.09
voucher,1,10.04
credit_card,1,57.8
credit_card,1,25.05
boleto,1,199.43
credit_card,3,172.29
credit_card,8,126.3
credit_card,5,116.97
credit_card,2,158.21
voucher,1,247.16
credit_card,4,45.09
credit_card,5,172.16
credit_card,2,189.37
credit_card,3,372.67
boleto,1,64.44
credit_card,1,2.35
credit_card,4,204.07
boleto,1,75.17
credit_card,2,177.11
credit_card,2,42.78
boleto,1,37.79
credit_card,2,119.79
boleto,1,273.98
credit_card,2,63.7
voucher,1,50.0
boleto,1,36.05
credit_card,1,85.15
credit_card,1,50.45
credit_card,1,34.37
voucher,1,184.93
credit_card,6,157.97
boleto,1,143.15
credit_card,8,123.25
credit_card,6,121.68
credit_card,10,156.39
credit_card,3,171.79
credit_card,2,133.05
debit_card,1,77.42
credit_card,2,281.73
credit_card,1,36.07
credit_card,4,441.16
credit_card,1,99.14
voucher,1,118.35
credit_card,1,92.8
credit_card,2,142.25
boleto,1,186.27
debit_card,1,23.88
boleto,1,497.59
credit_card,5,51.57
credit_card,1,159.07
credit_card,2,154.38
credit_card,3,245.36
boleto,1,385.52
credit_card,4,318.17
credit_card,1,576.2
credit_card,1,93.66
boleto,1,71.81
boleto,1,33.1
voucher,1,3.9
boleto,1,44.24
boleto,1,398.88
credit_card,2,47.61
credit_card,10,116.85
boleto,1,35.09
credit_card,5,51.88
credit_card,6,190.83
credit_card,4,101.64
credit_card,4,212.18
boleto,1,61.94
credit_card,1,35.24
credit_card,6,63.06
credit_card,2,102.64
credit_card,10,123.68
boleto,1,64.63
boleto,1,216.74
credit_card,1,46.26
credit_card,2,52.83
credit_card,2,129.79
credit_card,1,8.16
voucher,1,98.87
credit_card,2,65.05
debit_card,1,64.0
credit_card,1,34.7
credit_card,3,151.83
credit_card,2,103.2
credit_card,1,43.62
credit_card,6,166.41
credit_card,1,35.77
credit_card,10,194.48
credit_card,1,133.62
credit_card,2,115.9
boleto,1,91.92
credit_card,1,36.61
credit_card,3,72.78
credit_card,10,189.21
credit_card,7,346.59
credit_card,5,245.51
voucher,1,216.99
credit_card,3,104.43
credit_card,3,36.1
credit_card,2,161.47
credit_card,6,133.75
credit_card,1,125.22
boleto,1,50.86
credit_card,2,164.84
credit_card,1,2.67
voucher,1,33.56
boleto,1,99.9
credit_card,2,133.34
voucher,1,69.46
credit_card,1,133.28
credit_card,1,50.0
credit_card,10,368.92
credit_card,8,406.67
credit_card,3,69.45
credit_card,2,1327.54
credit_card,1,12.59
credit_card,3,45.69
credit_card,4,119.48
credit_card,3,88.72
voucher,1,250.0
credit_card,4,88.58
credit_card,1,81.6
credit_card,1,41.53
credit_card,1,64.86
credit_card,1,35.01
credit_card,1,47.44
boleto,1,21.01
credit_card,10,639.52
credit_card,2,142.44
credit_card,6,323.92
voucher,1,64.25
boleto,1,64.44
credit_card,8,91.18
boleto,1,44.34
credit_card,3,37.09
debit_card,1,146.13
boleto,1,218.27
voucher,1,41.11
credit_card,1,21.16
credit_card,1,95.34
credit_card,2,124.92
credit_card,1,52.76
boleto,1,56.28
debit_card,1,416.36
credit_card,2,144.76
voucher,1,6.82
boleto,1,202.5
credit_card,1,14.0
credit_card,1,3.99
credit_card,3,104.37
credit_card,1,119.84
credit_card,2,84.24
credit_card,1,2787.87
credit_card,3,457.64
credit_card,5,89.56
credit_card,3,595.3
credit_card,1,171.69
credit_card,3,32.96
credit_card,1,85.6
credit_card,3,44.66
boleto,1,164.55
boleto,1,38.42
credit_card,1,115.78
credit_card,8,198.49
credit_card,4,512.46
credit_card,4,113.16
credit_card,9,94.3
credit_card,1,87.64
credit_card,4,92.62
credit_card,2,52.1
credit_card,4,47.23
credit_card,3,62.5
credit_card,1,5.36
boleto,1,116.32
credit_card,1,158.21
credit_card,10,404.95
credit_card,1,196.01
boleto,1,95.84
credit_card,6,61.97
credit_card,1,134.71
voucher,1,79.56
credit_card,1,78.2
voucher,1,44.55
boleto,1,45.89
boleto,1,93.82
voucher,1,191.09
boleto,1,306.78
credit_card,1,44.85
credit_card,10,178.06
boleto,1,157.78
credit_card,3,83.34
credit_card,4,97.71
boleto,1,205.0
credit_card,6,65.0
credit_card,10,113.62
voucher,1,41.0
credit_card,1,44.38
credit_card,1,67.57
credit_card,3,117.57
voucher,1,1.39
boleto,1,90.76
credit_card,8,168.35
credit_card,1,131.64
credit_card,5,63.07
boleto,1,481.07
credit_card,1,37.96
boleto,1,248.36
credit_card,1,61.4
credit_card,4,176.16
credit_card,1,131.44
credit_card,2,61.37
credit_card,5,103.15
credit_card,3,154.51
voucher,1,20.0
credit_card,2,103.93
credit_card,1,92.57
credit_card,1,145.57
credit_card,3,86.15
credit_card,2,119.97
credit_card,3,73.25
credit_card,8,167.6
credit_card,1,35.69
credit_card,4,109.5
credit_card,6,70.18
credit_card,10,104.19
boleto,1,165.3
credit_card,8,219.4
credit_card,8,94.59
credit_card,10,991.09
credit_card,2,284.66
credit_card,6,146.48
credit_card,1,132.64
credit_card,3,35.0
credit_card,10,221.58
credit_card,10,158.98
voucher,1,6.67
credit_card,2,99.82
credit_card,1,86.31
credit_card,5,51.33
credit_card,1,111.93
credit_card,1,58.98
credit_card,3,88.56
credit_card,2,123.27
credit_card,3,33.16
credit_card,1,82.66
boleto,1,236.09
credit_card,1,43.0
credit_card,4,235.28
credit_card,1,55.79
credit_card,10,784.8
credit_card,7,73.43
boleto,1,174.64
credit_card,1,29.91
credit_card,1,54.1
credit_card,2,173.62
credit_card,2,99.43
credit_card,1,65.34
credit_card,6,153.8
credit_card,2,26.59
credit_card,5,123.29
debit_card,1,22.38
credit_card,8,326.38
credit_card,9,196.92
boleto,1,65.01
credit_card,2,21.84
credit_card,1,248.74
credit_card,5,141.11
credit_card,10,1013.25
credit_card,8,214.14
credit_card,2,94.7
debit_card,1,46.01
credit_card,4,224.39
voucher,1,100.0
credit_card,2,196.66
credit_card,3,69.83
boleto,1,41.09
credit_card,3,425.6
credit_card,2,118.43
credit_card,1,102.26
credit_card,1,48.11
voucher,1,150.0
credit_card,1,40.4
credit_card,1,430.28
credit_card,7,72.98
credit_card,1,126.23
boleto,1,143.1
credit_card,2,138.74
credit_card,10,291.72
credit_card,1,131.62
credit_card,4,161.54
credit_card,1,27.23
credit_card,5,143.04
credit_card,6,175.03
credit_card,2,63.74
credit_card,4,214.69
credit_card,10,531.92
credit_card,1,202.15
boleto,1,277.48
credit_card,1,35.13
boleto,1,28.07
credit_card,8,181.4
credit_card,8,162.51
credit_card,1,118.29
credit_card,1,247.52
credit_card,6,63.33
credit_card,7,220.25
boleto,1,228.82
credit_card,1,79.92
credit_card,1,112.2
